;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
authors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
frbs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
frbs_have_publications;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
frbs_notes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
observations;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
observations_have_publications;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
observations_notes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
publications;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
radio_images;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
radio_images_have_radio_measured_params;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
radio_measured_params;0;1;0;0;0;0;5;0;2;4;0;3;0;0;0;0;
radio_measured_params_have_publications;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
radio_measured_params_notes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
radio_observations_params;0;2;0;0;0;0;4;0;0;0;0;0;1;0;1;1;
radio_observations_params_have_publications;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
radio_observations_params_notes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
