mID	humanTime	#numCommits	#numTables	#numAttrs	tablesInssSum	tablesDelSum	attrsInsWithTableInsSum	attrsbDelWithTableDelSum	attrsInjectedSum	attrsEjectedSum	attrsWithTypeUpdSum	attrsInPKUpdSum	tableDeltaSum	attrDeltaSum	attrBirthsSum	attrDeathsSum	attrUpdsSum	TotalExpansion	TotalMaintenance	TotalAttrActivity
0	2014-01	1	3	20	3	0	20	0	0	0	0	0	0	0	20	0	0	20	0	20
1	2014-02	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2014-03	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	2014-04	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	2014-05	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	2014-06	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2014-07	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2014-08	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	2014-09	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2014-10	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	2014-11	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	2014-12	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	2015-01	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	2015-02	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	2015-03	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	2015-04	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	2015-05	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	2015-06	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	2015-07	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	2015-08	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	2015-09	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	2015-10	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	2015-11	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	2015-12	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	2016-01	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	2016-02	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	2016-03	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	2016-04	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	2016-05	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	2016-06	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	2016-07	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	2016-08	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	2016-09	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	2016-10	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	2016-11	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	2016-12	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	2017-01	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	2017-02	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	2017-03	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	2017-04	0	3	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	2017-05	1	3	28	0	0	0	0	10	2	12	0	0	8	10	2	12	10	14	24
