;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;
categories;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;
comments;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;
extend;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;
meta;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;
page_meta;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;
pages;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;
post_meta;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;
posts;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;
sessions;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;
users;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;-;
{{prefix}}categories;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;
{{prefix}}comments;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;
{{prefix}}extend;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;
{{prefix}}meta;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;
{{prefix}}page_meta;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;
{{prefix}}pages;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;
{{prefix}}post_meta;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;
{{prefix}}posts;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;
{{prefix}}sessions;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;
{{prefix}}users;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;
