;0;1;2;
agent;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
email_notifications;4[0|0|0|0];4[0|0|1|0];4[0|0|0|0];
failure_information;3[0|0|0|0];3[0|0|1|0];3[0|0|0|0];
instance_claim;5[0|0|0|0];5[0|0|1|0];5[0|0|0|0];
job;9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];
junit_failure;4[0|0|0|0];4[0|0|1|0];4[0|0|0|0];
pipeline;0|-|-|-|-;3[0|0|0|0];3[0|0|0|0];
pipeline_instance;4[0|0|0|0];10[6|0|1|0];10[0|0|0|0];
pipeline_sync_rule;0|-|-|-|-;5[0|0|0|0];5[0|0|0|0];
stage;7[0|0|0|0];8[1|0|0|0];8[0|0|0|0];
texttest_failure;5[0|0|0|0];5[0|0|1|0];5[0|0|0|0];
