table;dur;birth;death;chngs;s@s;s@e;sAvg
tbl_authors;24;0;-;2;12;12;12.0
tbl_cache;24;0;-;1;5;6;5.2916665
tbl_entries;24;0;-;3;5;8;6.6666665
tbl_extensions;24;0;-;0;4;4;4.0
tbl_extensions_delegates;24;0;-;0;5;5;5.0
tbl_fields;24;0;-;1;10;9;9.041667
tbl_fields_author;24;0;-;2;5;5;5.0
tbl_fields_checkbox;24;0;-;0;4;4;4.0
tbl_fields_date;24;0;-;3;3;5;3.6666667
tbl_fields_input;24;0;-;0;3;3;3.0
tbl_fields_select;24;0;-;1;7;6;6.625
tbl_fields_selectbox_link;7;3;9;0;6;6;6.0
tbl_fields_taglist;24;0;-;0;4;4;4.0
tbl_fields_textarea;24;0;-;0;4;4;4.0
tbl_fields_upload;24;0;-;0;4;4;4.0
tbl_forgotpass;24;0;-;1;3;3;3.0
tbl_pages;24;0;-;0;9;9;9.0
tbl_pages_types;24;0;-;0;3;3;3.0
tbl_sections;24;0;-;9;8;13;7.75
tbl_sections_association;24;0;-;2;6;8;6.8333335
tbl_sessions;24;0;-;1;3;3;3.0
